dist_km,power,speed_kmh,time_sec
0.014487021893694897,184.48806762695312,10.061255676269532,5.183575539215279
0.050980548894655586,184.48806762695312,22.312969848632815,11.034680533291368
0.08114609035517399,184.48806762695312,26.19302783203125,15.173564486808159
0.11914102057835049,184.48806762695312,28.580375610351567,19.95279543442973
0.13991610485257508,184.48806762695312,30.251024780273436,22.424160497715196
0.15579313848479803,184.48806762695312,31.34831506347656,24.2474585269798
0.19132949963507376,184.48806762695312,32.96459399414063,28.124516274840495
0.2105198898427975,178.8619936766921,35.030663085937505,30.096657212576233
0.27040686960746785,174.7272535847774,36.57280078125,35.98514066060469
0.38830805838016424,169.15023905119742,37.83320178222657,47.1782244349211
0.40904867786769744,167.53250820344903,38.426331665039065,49.12132624541887
0.42825931875536455,167.87822432687935,38.342304931640626,50.925033855561296
0.44713469710790776,168.00827371234675,38.302762939453125,52.69909287518265
0.4666343279505893,163.04040693863416,38.87117907714844,54.505023971183846
0.4874166041414221,160.11664869520365,39.92892736816407,56.378360436098454
0.5080976519376013,156.79690151611385,40.813679443359376,58.20226189308564
0.5973191579951463,157.92364887619104,40.8433359375,66.07308998871527
0.6203144679188891,160.34945332271622,40.23537780761719,68.13083002175651
0.8254334373658893,175.23040280660982,37.52675134277344,88.12636315662326
0.9342374031849054,177.56685488126348,35.954957153320315,98.98429268284714
0.955519159298176,178.87336214163548,36.271293090820315,101.09726766204486
1.0353060495572768,184.48806762695312,32.317093872070316,110.06363994026162
1.054894045851133,184.48806762695312,28.812684814453128,112.51106152252632
1.1083403060142476,184.48806762695312,30.038486572265622,118.89928268136745
1.1310126568855217,184.48806762695312,32.58894506835937,121.4021810813233
1.1663343448385717,180.7421419592426,34.956521850585936,125.03569467369425
1.1913731566585664,172.97924053749966,36.82982373046875,127.48222372706309
1.2295518027570063,165.25461049248165,38.436217163085935,131.05539332675926
1.281912323743838,154.20977728565694,41.06081689453125,135.63702868965635
1.3201259199530162,150.20540258348063,42.80560729980469,138.85083604758907
1.4949624330327447,146.00083318269827,43.7941571044922,153.17116876855772
1.5225447166431592,146.8227145206385,44.13026403808594,155.421852351686
1.550346444646909,150.6806392102348,42.97366076660156,157.75149464834885
1.658685459946819,155.30032975674484,41.63911853027344,167.13784469908958
1.6833896757085691,159.21226534471526,40.556656494140626,169.33113664574384
1.7077773140641115,165.0013436797524,39.42476696777344,171.55914003486507
1.743250799475731,168.79537714515092,38.2731064453125,174.89650711135414
1.7659102464169891,169.78394187105553,37.91228576660157,177.0481590627549
1.8730941416099516,173.24614706865646,37.294442138671876,187.41385237926454
1.897947553952734,175.03660366476532,36.74085424804687,189.84891470857147
1.9955688154815456,176.19917600314858,36.56785803222657,199.4652438226825
2.020146999036913,176.4608465832182,36.429461059570315,201.89408847059448
2.1392830302512222,178.15490301465925,36.197151855468746,213.75680761959646
2.1634371139065833,178.39636920374045,36.00932739257812,216.17142871532445
2.363639737528838,166.76912448041787,37.98642700195313,234.94179162057242
2.389347311470125,162.87861767665726,39.62247692871094,237.2778321756506
2.4678520103237207,160.94869429056052,39.82018688964844,244.3688360427501
2.5599195898126976,163.45653817281936,39.56316394042969,252.76109499264095
2.58518041013445,166.58941769977332,38.69818286132813,255.11120960786494
2.641102778836067,178.17304397427628,36.79028173828125,260.59927909336716
2.660683139144685,184.48806762695312,33.85428881835938,262.6814169722405
2.6800617945059972,184.48806762695312,32.302265625000004,264.84111561723995
2.6990823377037136,184.48806762695312,31.615223510742187,267.0069695289959
2.717859844752631,184.48806762695312,30.20159729003906,269.24522947024735
2.7632117780976113,184.48806762695312,26.50442102050781,275.44238129846076
2.789692061328745,184.48806762695312,23.00495471191406,279.5922400990466
2.8247273219907125,184.48806762695312,22.337683593749997,285.2356330726192
2.842916953484234,184.48806762695312,21.892836181640625,288.22668790139426
2.861174441753263,184.48806762695312,21.220622314453127,291.32400318247056
2.8870103278203714,184.48806762695312,21.620984985351562,295.62225167242696
2.91258384935791,184.48806762695312,22.298141601562495,299.7489230249602
2.947337843226538,184.48806762695312,24.433409179687498,304.8526735124893
2.966223647064451,184.48806762695312,27.611596801757813,307.3150046230232
2.9973980414382027,184.48806762695312,31.81293347167969,310.83410119791705
3.069472744771229,160.59934722071287,38.72289660644532,317.4830798871597
3.245675166193357,134.99977535920405,46.5769248046875,330.9197282309542
3.266261664161725,130.10262429180597,49.769940673828124,332.4090906044311
3.476885042385905,156.77494104913137,42.88963403320312,350.6466045759279
3.508423533859532,182.56893297637356,35.65344946289063,353.8337163883959
3.5392366441241254,184.48806762695312,34.15579650878906,357.0825165984394
3.5599761702158874,184.48806762695312,33.94820104980468,359.28153882848363
3.593101300846464,184.48806762695312,34.44247595214844,362.7433788399463
3.6627240424550185,171.78645113609454,36.745796997070315,369.53336756710183
3.687086060358479,162.6985741972872,39.3011982421875,371.7643063451076
3.7118982329863797,159.5843072383435,40.11675183105469,373.99040060231573
3.7368414581097626,157.11701526536405,40.78402294921875,376.19176548098363
3.792221869741424,166.61301010025355,39.3011982421875,381.27753974097345
3.8258172729156907,179.4668588044232,36.42451831054687,384.6011538782263
3.860830053371361,179.21077476944066,35.697934204101564,388.13068524085764
3.883669248497192,173.09553764598434,36.785338989257816,390.3648588509738
3.917904712490209,170.67497807431238,37.62560632324219,393.64006954038786
3.952584897918252,169.85053866206528,37.82825903320313,396.9402654440201
3.9760423509465403,170.07244740943653,37.85297277832032,399.1711835605814
4.0113862229568555,169.69544680621783,37.86780102539063,402.53102369626606
4.03517209785822,170.00582729548643,37.87274377441406,404.79199590417676
