dist_km,ele,grade_pct,asym_power,asym_speed,gordon_power,gordon_speed
174.643,564.0,-0.8,163.5,35.4,154.7,34.8
174.674,563.8,-0.6,163.4,35.5,154.6,34.9
174.695,563.6,-0.9,162.1,35.6,154.0,35.0
174.716,563.0,-2.8,149.8,36.3,149.1,35.8
174.737,562.6,-1.9,141.9,37.3,145.9,36.8
174.758,562.4,-0.9,142.3,37.4,145.8,37.0
174.780,562.2,-0.9,144.4,37.2,146.3,36.9
174.802,562.0,-0.9,146.2,37.0,146.8,36.8
174.824,561.8,-0.9,147.7,36.9,147.2,36.7
174.856,561.4,-1.2,146.7,36.9,146.7,36.7
174.877,561.2,-1.0,147.1,37.0,146.7,36.8
174.916,561.0,-0.5,153.1,36.6,148.9,36.4
174.937,560.8,-1.0,154.4,36.3,149.4,36.1
174.968,560.6,-0.6,156.5,36.2,150.3,35.9
174.989,560.8,0.9,167.4,35.4,154.8,35.2
175.021,561.0,0.6,180.0,34.3,160.8,33.9
175.052,561.2,0.6,189.8,33.4,166.2,32.7
175.081,561.4,0.7,196.9,32.7,170.7,31.8
175.101,561.6,1.0,204.2,32.1,175.4,31.1
175.120,561.8,1.1,209.0,31.6,178.8,30.4
175.200,561.4,-0.5,193.2,32.4,171.2,31.1
175.220,561.2,-1.0,181.3,33.7,165.4,32.4
175.240,561.0,-1.0,174.3,34.3,161.9,33.0
175.260,560.8,-1.0,171.1,34.7,160.3,33.5
175.301,560.2,-1.5,161.3,35.4,155.6,34.4
175.332,559.8,-1.3,154.1,36.2,152.0,35.3
175.396,559.0,-1.2,149.4,36.6,149.4,36.0
175.602,555.2,-1.8,129.4,38.1,140.3,37.9
175.641,555.0,-0.5,132.2,38.6,139.7,38.9
175.659,554.8,-1.1,137.0,37.9,141.2,38.2
175.695,555.0,0.6,153.8,36.9,147.4,37.1
175.721,554.8,-0.8,159.2,35.9,149.8,36.0
175.774,554.0,-1.5,151.3,36.4,147.3,36.4
175.792,553.8,-1.2,147.5,36.9,146.1,36.9
175.817,553.4,-1.6,144.3,37.1,145.0,37.1
175.835,553.2,-1.1,143.7,37.2,144.7,37.3
175.853,553.4,1.1,158.2,36.6,150.1,36.6
175.916,554.4,1.6,188.4,33.9,164.1,33.6
175.953,554.2,-0.5,194.3,32.4,168.9,31.7
175.971,554.0,-1.1,183.9,33.3,164.6,32.4
175.998,553.6,-1.5,174.2,34.2,160.3,33.3
176.016,553.8,1.1,181.8,34.3,163.9,33.4
176.034,553.6,-1.1,175.9,34.1,161.3,33.2
176.053,553.4,-1.1,171.1,34.6,159.1,33.7
176.090,553.2,-0.5,170.7,34.8,158.9,33.9
176.119,553.0,-0.7,169.2,34.9,158.1,34.0
176.137,552.8,-1.1,165.2,35.2,156.3,34.3
176.341,552.8,0.0,180.6,34.4,163.6,33.4
176.360,553.0,1.1,195.0,33.0,171.5,31.8
